tweet_id,text,emotion
001,I'm so happy today!,joy
002,This is the worst day ever.,anger
003,Feeling really low and tired.,sadness
004,I can't wait to see you again 😊,joy
005,I'm afraid of what might happen tomorrow.,fear
006,I love this beautiful weather!,joy
007,Why does everything go wrong for me?,sadness
008,What an amazing surprise!,surprise
009,I hate being ignored.,anger
010,This makes me nervous before the big event.,fear
011,I'm feeling optimistic about the future.,joy
012,I don't want to talk to anyone right now.,sadness
013,Life is good!,joy
014,That was so rude and unnecessary.,anger
015,I'm scared to speak in front of everyone.,fear
016,She means the world to me.,love
017,Why is nobody listening to me?,anger
018,This cake tastes amazing!,joy
019,Just leave me alone...,sadness
020,Can't believe I got selected!,surprise
021,Everything is falling apart.,sadness
022,Feeling so blessed today.,joy
023,What if I fail again?,fear
024,Totally shocked by the news!,surprise
025,I wish someone would understand me.,sadness
026,Can't stop smiling 😊,joy
027,I’m overwhelmed and frustrated.,anger
028,That hug meant everything.,love
029,Nothing excites me anymore.,sadness
030,You're my favorite person.,love
031,Back to the grind 😩,sadness
032,I'm terrified of what I saw.,fear
033,Today was peaceful and calm.,joy
034,Nobody cares about how I feel.,sadness
035,I'm bursting with energy!,joy
036,Stop yelling at me!,anger
037,So much fun at the party!,joy
038,I can't trust anyone anymore.,sadness
039,Super excited for the trip!,joy
040,I feel empty inside.,sadness
041,Such a kind gesture.,love
042,Why do bad things always happen to me?,sadness
043,Feeling relaxed and chill today.,joy
044,Tired of being strong all the time.,sadness
045,In love with this song!,love
046,He betrayed my trust.,anger
047,Caught completely off guard.,surprise
048,The world is beautiful!,joy
049,That movie was terrifying!,fear
050,Just taking it easy today.,neutral
